Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326
Voting Ensemble,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326
