mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__max_iter,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24412636756896972,0.02842245797910466,0.006832790374755859,0.0011640044941659464,0.01,100,lbfgs,"{'classifier__C': 0.01, 'classifier__max_iter': 100, 'classifier__solver': 'lbfgs'}",0.8571428571428571,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9523809523809523,0.8952380952380953,0.03563483225498992,13
0.25938854217529295,0.02946905304654884,0.0072327136993408205,0.001877954928423202,0.01,200,lbfgs,"{'classifier__C': 0.01, 'classifier__max_iter': 200, 'classifier__solver': 'lbfgs'}",0.8571428571428571,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9523809523809523,0.8952380952380953,0.03563483225498992,13
0.2714059829711914,0.004034352863820406,0.011102294921875,0.00437484911894192,0.01,500,lbfgs,"{'classifier__C': 0.01, 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.8571428571428571,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9523809523809523,0.8952380952380953,0.03563483225498992,13
0.24666252136230468,0.022715193513135633,0.0074689388275146484,0.002385558119641362,0.1,100,lbfgs,"{'classifier__C': 0.1, 'classifier__max_iter': 100, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.018822622299194337,0.0021162381057577293,0.01790456771850586,0.021007241997628035,0.1,200,lbfgs,"{'classifier__C': 0.1, 'classifier__max_iter': 200, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.023194122314453124,0.016188432720049686,0.012403726577758789,0.005541505653487357,0.1,500,lbfgs,"{'classifier__C': 0.1, 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.018266630172729493,0.007023723494594805,0.008183479309082031,0.0033904289206733162,1.0,100,lbfgs,"{'classifier__C': 1, 'classifier__max_iter': 100, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.016396474838256837,0.004591460830139083,0.008251047134399414,0.001051185093758161,1.0,200,lbfgs,"{'classifier__C': 1, 'classifier__max_iter': 200, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.024131393432617186,0.012098411097402686,0.006791830062866211,0.0007893572312206187,1.0,500,lbfgs,"{'classifier__C': 1, 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.019038581848144533,0.004598517934506532,0.008515453338623047,0.001322429699201726,10.0,100,lbfgs,"{'classifier__C': 10, 'classifier__max_iter': 100, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.019326066970825194,0.009735427621776281,0.009367036819458007,0.006201585366604092,10.0,200,lbfgs,"{'classifier__C': 10, 'classifier__max_iter': 200, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.015962982177734376,0.0022485225509810297,0.006785821914672851,0.0009537931773501316,10.0,500,lbfgs,"{'classifier__C': 10, 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,1
0.01632537841796875,0.0016816985489176825,0.006501913070678711,0.00028229424269046244,100.0,100,lbfgs,"{'classifier__C': 100, 'classifier__max_iter': 100, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,0.9523809523809523,1.0,0.9523809523809523,0.9714285714285713,0.023328473740792197,10
0.018424320220947265,0.005263500288148561,0.005524873733520508,0.0009954805339569416,100.0,200,lbfgs,"{'classifier__C': 100, 'classifier__max_iter': 200, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,0.9523809523809523,1.0,0.9523809523809523,0.9714285714285713,0.023328473740792197,10
0.01353754997253418,0.0014567233036552705,0.0048408031463623045,0.0008058805207655757,100.0,500,lbfgs,"{'classifier__C': 100, 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.9523809523809523,1.0,0.9523809523809523,1.0,0.9523809523809523,0.9714285714285713,0.023328473740792197,10
