Metric,Logistic Regression,Gradient Boosting (Tuned)
Accuracy,0.9111111111111111,0.9555555555555556
Precision,0.9345238095238095,0.9607843137254902
Recall,0.9333333333333333,0.9555555555555556
F1 Score,0.9332591768631814,0.9553571428571429
