Metric,Best Single Model,Voting Ensemble,Improvement
Accuracy,0.9333333333333333,0.9333333333333333,0.0
Precision,0.9444444444444444,0.9444444444444444,0.0
Recall,0.9333333333333333,0.9333333333333333,0.0
F1 Score,0.9326599326599326,0.9326599326599326,0.0
