Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857
Decision Tree,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326
Random Forest,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326
